_NSMatrixPrivateIvars,NSObject
_NSMagnifierWindow,NSWindow
CUISmallBlur,CIFilter
NSKeyValueNonmutatingOrderedSetMethodSet,NSKeyValueNonmutatingCollectionMethodSet
NSISLinearExpression,NSObject
NSPressureConfiguration,NSObject
_NSCFTranslatedFileURLProtocol_PIMPL_5,_NSCFTranslatedFileURLProtocol
SFCertificateAuthority,NSObject
_PFRoutines,NSObject
_NSAlignmentFeedbackFilterImpl,NSObject
_NSCGLSurface,NSCGLSurface
__NSArrayI,NSArray
IORegistryObjectNotifier,NSObject
PFUbiquityTransactionEntryLight,NSObject
__NSCFURLLocalStreamTaskFromDataTaskDataBlobby,NSObject
CAIOSurfaceCodingProxy,CACodingProxy
NSPressGestureRecognizer,NSGestureRecognizer
_NSPlaceholderLocale,NSLocale
NSMatrix,NSControl
NSCoercionHandler,NSScriptCoercionHandler
CIHardMixBlendMode,CIBlendModeFilter
NSCollectionViewData,NSObject
_PFBatchFaultingArray,NSArray
NSCoreDragManager,_NSDragManager
NSPrintThumbnailView,NSView
CWANQPElement,NSObject
NSButton,NSControl
NSScriptWhoseTest,NSObject
NSAKDeserializerStream,NSObject
NSGrayFrame,NSThemeFrame
_NSTokenFieldPlugin,_NSPlaceholderTextFieldPlugin
CUIPSDGradientOpacityStop,CUIPSDGradientStop
NSBig5EncodingDetector,NSEncodingDetector
CIMaximumCompositing,_CICompositeFilter
NSHTMLWebDelegate,NSObject
_NSFlippedImage,NSImage
MTLIOMemoryInfo,NSObject
__NSISOLatin4TrigramKeySet,_NSSharedKeySetS
PFUbiquityBaselineHeuristics,NSObject
NSRuleEditorLocalizer,NSObject
NSTableBackgroundView,NSView
_NSObserverList,NSObject
CIAreaMinimum,CIAreaMaximum
NSOverdrawableTileLayer,NSTileLayer
InkRecognizerStroke,InkRecognizerBase
_PFWeakReference,NSObject
BU_TMToolbarCheckbox,BU_TMToolbarPushButton
DDRegexpManager,NSObject
__NSISOLatin5TrigramKeySet,_NSSharedKeySetS
_NSTextPlugin,_NSTextFieldPlugin
_NSInputAlignmentGuide,NSObject
NSXPCRow,NSExternalRefCountedData
OS_xpc_int64,OS_xpc_object
NSIBUserDefinedRuntimeAttributesConnector,NSObject
NSRemoteServiceRequest,NSRemoteServiceMessage
CoreWiFiRegulatoryTuple,NSObject
NSViewController,NSResponder
CADebuggingArchiverDelegate,NSObject
PFUbiquityStoreExportContext,NSObject
CIPinLightBlendMode,CIBlendModeFilter
NSNavBox,NSView
NSSQLBindVariable,NSObject
AUAudioUnitProperty,NSObject
NSConnection,NSObject
PADataArchiveHandle,NSObject
_NSCollectionViewDropReceiver,NSObject
BroadcomHostController,IOBluetoothHostController
NSKeyValueComputedProperty,NSKeyValueProperty
CWLocationChannel,CWChannel
NSXMLParser,NSObject
IMKClientXPCInvocation,NSObject
_NSFullScreenTileResizeCrossfadeWindowProxyLayer,CALayer
_NSCFTranslatedFileURLProtocol_PIMPL_6,_NSCFTranslatedFileURLProtocol
NSPrintPreviewGraphicsContext,NSProxy
InkRecognizerPhraseWord,NSObject
OS_xpc_endpoint,OS_xpc_object
NSHTMLReader,NSObject
MTLIOAccelResource,NSObject
CIPhotoEffectFade,CIPhotoEffect
NSConstantString,NSSimpleCString
CIDroste,CIFilter
NSAlignmentFeedbackFilter,NSObject
_NSCGLSurfaceNonAtomicLayerContents,NSObject
_NSMappingModelBuilder,NSObject
PASampleTimeInsensitiveTaskData,NSObject
_NSXPCDistantObjectWithError,_NSXPCDistantObject
NSNavCell,NSImageTextFieldCell
NSSpellingPanel,NSPanel
_PFMutableProxyArray,NSMutableArray
MTLRenderPipelineDescriptorInternal,MTLRenderPipelineDescriptor
NSKeyValueNonmutatingArrayMethodSet,NSKeyValueNonmutatingCollectionMethodSet
IOBluetoothDevicePairExpansion,NSObject
NSISPlaybackOperation,NSObject
NSPulseGestureRecognizer,NSGestureRecognizer
_NSCFTranslatedFileURLProtocol_PIMPL_3,_NSCFTranslatedFileURLProtocol
_NSDrawingThreadData,NSObject
CIGammaAdjust,CIFilter
_NSMostCommonChineseCharsKeySet,_NSSharedKeySetS
PAAbandonedMemory,NSObject
__NSCFURLLocalStreamTaskWorkRead,__NSCFURLLocalStreamTaskWork
_NSScreenAux,NSObject
CoreWiFiDWDSIE,CoreWiFiIE
NSSplitViewController,NSViewController
_NSXPCDistantObjectWithUserInfoAndError,_NSXPCDistantObjectWithError
NSWeakCallback,NSObject
CUIPSDGradientDoubleOpacityStop,CUIPSDGradientOpacityStop
CUIThemeSchemaRendition,CUIThemeRendition
SFOidParser,NSObject
NSLayoutManagerTextBlockHelper,NSObject
NSSpellChecker,NSObject
_NSCornerView,NSView
NSSQLChannel,NSObject
